### DO NOT MODIFY THE FORMAT OF THIS FILE
### it is used by the perl script: sepica_bartels_fill.pl

Bartels Period = 27.000000 days = 2332800.00 sec.
use code ~asc/aceprog/anciltest/get_scclock hdf_file ACEepoch
to get Space Craft time where hdf_file = /home/mussel1/ancillary/ACE_ANCIL.HDF

The exact starting time for each Bartels Rotation is:

Bartels Start   DOY  UT        ACE Epoch     Space Craft
Rot.    Date        (sec)     Time (sec)at    Clock
 #                            00:00:00 UT*    (sec)
---- ---------- --- --------  -----------   -------------
Pre L1 Insertion:
2240 08/14/1997 226 00000.00  51062400.00   -
2241 09/10/1997 253 00000.00  53395200.00   01325494.00
2242 10/07/1997 280 00000.00  55728000.00   03658294.31
2243 11/03/1997 307 00000.00  58060800.00   05991097.27
2244 11/30/1997 334 00000.00  60393600.00   08323900.60

Post L1 Insertion:
2245 12/27/1997 361 00000.00  62726400.00   10656703.60
2246 01/23/1998 023 00000.00  65059200.00   12989506.35
2247 02/19/1998 050 00000.00  67392000.00   15322309.21
2248 03/18/1998 077 00000.00  69724800.00   17655112.35
2249 04/14/1998 104 00000.00  72057600.00   19987915.66

2250 05/11/1998 131 00000.00  74390400.00   22320719.10
2251 06/07/1998 158 00000.00  76723200.00   24653522.49
2252 07/04/1998 185 00000.00  79056000.00   26986325.68
2253 07/31/1998 212 00000.00  81388800.00   29319128.80
2254 08/27/1998 239 00000.00  83721600.00   31651932.08

2255 09/23/1998 266 00000.00  86054400.00   33984735.52
2256 10/20/1998 293 00000.00  88387200.00   36317538.96
2257 11/16/1998 320 00000.00  90720000.00   38650342.34
2258 12/13/1998 347 00000.00  93052800.00   40983145.46
2259 01/09/1999 009 00000.00  95385600.00   43315948.33

2260 02/05/1999 036 00000.00  97718400.00   45648751.25
2261 03/04/1999 063 00000.00 100051200.00   47981554.39
2262 03/31/1999 090 00000.00 102384000.00   50314357.73
2263 04/27/1999 117 00000.00 104716800.00   52647161.22
2264 05/24/1999 144 00000.00 107049600.00   54979964.68

2265 06/20/1999 171 00000.00 109382400.00   57312767.91
2266 07/17/1999 198 00000.00 111715200.00   59645571.10
2267 08/13/1999 225 00000.00 114048000.00   61978374.47
2268 09/09/1999 252 00000.00 116380800.00   64311178.01
2269 10/06/1999 279 00000.00 118713600.00   66643981.63

2270 11/02/1999 306 00000.00 121046400.00   68976785.15
2271 11/29/1999 333 00000.00 123379200.00   71309588.36
2272 12/26/1999 360 00000.00 125712000.00   73642391.32
2273 01/22/2000 022 00000.00 128044800.00   75975194.33
2274 02/18/2000 049 00000.00 130377600.00   78307997.52

2275 03/16/2000 076 00000.00 132710400.00   80640800.89
2276 04/12/2000 103 00000.00 135043200.00   82973604.41
2277 05/09/2000 130 00000.00 137376000.00   85306407.85
2278 06/05/2000 157 00000.00 139708800.00   87639211.07
2279 07/02/2000 184 00000.00 142041600.00   89972014.31

2280 07/29/2000 211 00000.00 144374400.00   92304817.69
2281 08/25/2000 238 00000.00 146707200.00   94637621.28
2282 09/21/2000 265 00000.00 149040000.00   96970424.98
2283 10/18/2000 292 00000.00 151372800.00   99303228.67
2284 11/14/2000 319 00000.00 153705600.00  101636032.03

2285 12/11/2000 346 00000.00 156038400.00  103968835.14
2286 01/07/2001 007 00000.00 158371200.00  106301638.30
2287 02/03/2001 034 00000.00 160704000.00  108634441.62
2288 03/02/2001 061 00000.00 163036800.00  110967245.13
2289 03/29/2001 088 00000.00 165369600.00  113300048.79

2290 04/25/2001 115 00000.00 167702400.00  115632852.32
2291 05/22/2001 142 00000.00 170035200.00  117965655.61
2292 06/18/2001 169 00000.00 172368000.00  120298458.95
2293 07/15/2001 196 00000.00 174700800.00  122631262.41
2294 08/11/2001 223 00000.00 177033600.00  124964066.06

2295 09/07/2001 250 00000.00 179366400.00  127296869.84
2296 10/04/2001 277 00000.00 181699200.00  129629673.61
2297 10/31/2001 304 00000.00 184032000.00  131962477.12
2298 11/27/2001 331 00000.00 186364800.00  134295280.36
2299 12/24/2001 358 00000.00 188697600.00  136628083.67

2300 01/20/2002 020 00000.00 191030400.00  138960887.18
2301 02/16/2002 047 00000.00 193363200.00  141293690.83
2302 03/15/2002 074 00000.00 195696000.00  143626494.56
2303 04/11/2002 101 00000.00 198028800.00  145959298.16
2304 05/08/2002 128 00000.00 200361600.00  148292101.50

2305 06/04/2002 155 00000.00 202694400.00  150624904.89
2306 07/01/2002 182 00000.00 205027200.00  152957708.50
2307 07/28/2002 209 00000.00 207360000.00  155290512.29
2308 08/24/2002 236 00000.00 209692800.00  157623316.21
2309 09/20/2002 263 00000.00 212025600.00  159956120.09

2310 10/17/2002 290 00000.00 214358400.00  162288923.64
2311 11/13/2002 317 00000.00 216691200.00  164621726.96
2312 12/10/2002 344 00000.00 219024000.00  166954530.35
2313 01/06/2003 006 00000.00 221356800.00  169287333.95
2314 02/02/2003 033 00000.00 223689600.00  171620137.65

2315 03/01/2003 060 00000.00 226022400.00  173952941.46
2316 03/28/2003 087 00000.00 228355200.00  176285745.10
2317 04/24/2003 114 00000.00 230688000.00  178618548.49
2318 05/21/2003 141 00000.00 233020800.00  180951351.89
2319 06/17/2003 168 00000.00 235353600.00  183284155.57

2320 07/14/2003 195 00000.00 237686400.00  185616959.43
2321 08/10/2003 222 00000.00 240019200.00  187949763.44
2322 09/06/2003 249 00000.00 242352000.00  190282567.41
2323 10/03/2003 276 00000.00 244684800.00  192615371.08
2324 10/30/2003 303 00000.00 247017600.00  194948174.46

2325 11/26/2003 330 00000.00 249350400.00  197280977.94
2326 12/23/2003 357 00000.00 251683200.00  199613781.59
2327 01/19/2004 019 00000.00 254016000.00  201946585.37
2328 02/15/2004 046 00000.00 256348800.00  204279389.25
2329 03/13/2004 073 00000.00 258681600.00  206612192.96

2330 04/09/2004 100 00000.00 261014400.00  208944996.40
2331 05/06/2004 127 00000.00 263347200.00  211277799.90
2332 06/02/2004 154 00000.00 265680000.00  213610603.62
2333 06/29/2004 181 00000.00 268012800.00  215943407.55
2334 07/26/2004 208 00000.00 270345600.00  218276211.58

2335 08/22/2004 235 00000.00 272678400.00  220609015.66
2336 09/18/2004 262 00000.00 275011200.00  222941819.48
2337 10/15/2004 289 00000.00 277344000.00  225274623.01
2338 11/11/2004 316 00000.00 279676800.00  227607426.59
2339 12/08/2004 343 00000.00 282009600.00  229940230.34

2340 01/04/2005 004 00000.00 284342400.00  232273034.20
2341 01/31/2005 031 00000.00 286675200.00  234605838.15
2342 02/27/2005 058 00000.00 289008000.00  236938641.98
2343 03/26/2005 085 00000.00 291340800.00  239271445.48
2344 04/22/2005 112 00000.00 293673600.00  241604249.01

2345 05/19/2005 139 00000.00 296006400.00  243937052.78
2346 06/15/2005 166 00000.00 298339200.00  246269856.75
2347 07/12/2005 193 00000.00 300672000.00  248602660.84
2348 08/08/2005 220 00000.00 303004800.00  250935464.97
2349 09/04/2005 247 00000.00 305337600.00  253268268.85

2350 10/01/2005 274 00000.00 307670400.00  255601072.48
2351 10/28/2005 301 00000.00 310003200.00  257933876.15
2352 11/24/2005 328 00000.00 312336000.00  260266679.99
2353 12/21/2005 355 00000.00 314668800.00  262599483.94
